"EmployeeID";"FirstName";"LastName";"Salary";"HireDate";"JobTitle";"Email";"Phone"
1;"Lesley";"Bland";85000.0;"2020-06-15";"Manager";"lesley.b@company.com";"215-555-1234"
2;"Robert";"King";75000.0;"2018-03-22";"Developer";"robert.k@company.com";"215-555-5678"
3;"Linda";"Clark";90000.0;"2019-08-01";"Analyst";"linda.c@company.com";"215-555-8765"
4;"Steve";"Lopez";60000.0;"2021-10-10";"Designer";"steve.l@company.com";"215-555-4321"
5;"Karen";"Scott";95000.0;"2017-05-25";"Director";"karen.s@company.com";"215-555-6789"
6;"Mark";"Hall";70000.0;"2022-01-05";"Engineer";"mark.h@company.com";"215-555-7890"
7;"Sharon";"Harris";80000.0;"2019-02-18";"Consultant";"sharon.h@company.com";"215-555-3456"
8;"Peter";"Adams";92000.0;"2018-07-12";"Manager";"peter.a@company.com";"215-555-6543"
9;"Sandra";"Nelson";98000.0;"2016-11-30";"Analyst";"sandra.n@company.com";"215-555-8765"
10;"Kevin";"Roberts";85000.0;"2017-09-21";"Lead Developer";"kevin.r@company.com";"215-555-3210"
